"contentId","youtubeVideoId","category","topic","title","hook","publishedAt","isPublished","daysSincePublished","durationSeconds","views","likes","comments","viewsPerDay","likeRate","commentRate","views1d","views3d","views7d","views30d","collectedAt"
"life-margin-family-giving-001","q38_h0pZPlI","family","healthy_giving","자식에게 모든 것을 주지 않아도 되는 이유","자식에게 모든 것을
주지 않아도 됩니다","2026-09-11T20:30:00.000+09:00","true","13","49","1077","14","0","82.56","0.012999","0.000000","1077","1077","1077","","2026-09-24T21:34:33.203+09:00"
"life-margin-inlaw-holiday-hurt-001","QiMu--mAgPg","family","inlaw_holiday_hurt","명절 뒤 며느리에게 서운한 마음을 오래 두지 않는 법","명절 뒤 서운한 마음
오래 두지 마세요","2026-09-08T14:28:39.000+09:00","true","16","55","201","3","0","12.33","0.014925","0.000000","194","194","194","","2026-09-24T21:34:33.203+09:00"
"life-margin-inlaw-short-reply-001","3JHFTI0wcs4","family","inlaw_short_reply","며느리의 짧은 대답을 서운해하지 않아도 되는 이유","며느리의 대답이 짧아도
서운해하지 마세요","2026-09-08T14:28:39.000+09:00","true","16","55","366","3","0","22.46","0.008197","0.000000","366","366","366","","2026-09-24T21:34:33.203+09:00"
"life-margin-inlaw-visit-first-001","UBL1ef3Uv_M","family","inlaw_visit_first","아들 집에 가기 전 먼저 물어보면 좋은 이유","아들 집에 갈 때는
먼저 물어봐도 늦지 않습니다","2026-09-08T14:28:39.000+09:00","true","16","48","738","2","0","45.29","0.002710","0.000000","737","737","737","","2026-09-24T21:34:33.203+09:00"
"life-margin-longform-children-boundaries-001","97nmbTiXvQo","family_relationship","children_boundaries","60세 이후 자식과 현명하게 거리를 두는 7가지 방법","","2026-09-16T20:30:00.000+09:00","true","8","603","524","1","0","65.13","0.001908","0.000000","524","524","524","","2026-09-24T21:34:33.203+09:00"
"life-margin-longform-good-parent-words-001","rv20tIFR-pg","family_relationship","good_parent_words","좋은 부모가 자식에게 하지 않는 7가지 말","","2026-09-23T20:30:00.000+09:00","true","1","551","11","0","0","10.53","0.000000","0.000000","11","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-micro-children-boundaries-5s-001","ReDLjfAJedI","family_relationships","children_boundaries","자식과 가까울수록 지켜야 할 5가지","","2026-09-17T20:30:00.000+09:00","true","7","6","536","1","0","76.08","0.001866","0.000000","536","536","536","","2026-09-24T21:34:33.203+09:00"
"life-margin-micro-children-boundaries-9s-001","ZwkfwgS1jbI","family_relationships","children_boundaries","자식과 가까울수록 지켜야 할 5가지","","2026-09-20T20:30:00.000+09:00","true","4","10","726","1","0","179.49","0.001377","0.000000","726","726","","","2026-09-24T21:34:33.203+09:00"
"life-margin-micro-family-distance-5s-001","I13H_VynaE4","family_relationships","family_distance","가족에게 서운함을 줄이는 5가지 말","","2026-09-19T20:30:00.000+09:00","true","5","6","1262","0","0","250.16","0.000000","0.000000","1262","1262","","","2026-09-24T21:34:33.203+09:00"
"life-margin-micro-family-distance-9s-001","gpIC-rN97WY","family_relationships","family_distance","가족에게 서운함을 줄이는 5가지 말","","2026-09-22T20:30:00.000+09:00","true","2","10","986","1","0","482.19","0.001014","0.000000","986","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-micro-good-parent-words-5s-001","LZEzNqf_GAo","family_relationships","good_parent_words","좋은 부모가 자식에게 하지 않는 말","","2026-09-21T20:30:00.000+09:00","true","3","6","1121","0","0","368.16","0.000000","0.000000","1121","1121","","","2026-09-24T21:34:33.203+09:00"
"life-margin-micro-good-parent-words-9s-001","RdupSwNnSPs","family_relationships","good_parent_words","좋은 부모가 자식에게 하지 않는 말","","2026-09-18T20:30:00.000+09:00","true","6","10","1254","2","1","207.45","0.001595","0.000797","1254","1254","","","2026-09-24T21:34:33.203+09:00"
"life-margin-mind-worry-001","b6E-UqHeR8s","mind","future_worry","걱정의 대부분은 아직 일어나지 않은 일입니다","오늘의 걱정 대부분은
아직 일어나지 않았습니다","2026-09-12T20:30:00.000+09:00","true","12","49","143","1","0","11.87","0.006993","0.000000","143","143","143","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-call-hesitation-002","OPwIR1DUets","family_relationships","calling_adult_child","자식에게 먼저 전화하기가 망설여지는 날","전화번호를 눌렀다가
다시 지운 적 있나요","2026-09-18T12:30:00.000+09:00","true","6","47","80","0","0","12.54","0.000000","0.000000","80","80","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-eating-alone-009","HqdZNxkoms4","later_life","dignified_solo_meal","혼자 밥 먹는 시간이 쓸쓸하지 않게 되는 순간","혼자 먹는 밥이
초라한 것은 아닙니다","2026-09-25T12:30:00.000+09:00","false","0","45","0","0","0","0.00","","","","","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-grandchild-care-001","PNN8TtL3NAQ","family_relationships","grandchild_care_boundaries","손주를 봐주고도 서운해지는 진짜 이유","손주는 예쁜데
왜 자꾸 서운해질까요","2026-09-17T12:30:00.000+09:00","true","7","28","1197","10","0","162.24","0.008354","0.000000","1197","1197","1197","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-health-talk-005","mkloANHuul0","later_life","telling_children_about_health","아픈 이야기를 자식에게 어디까지 해야 할까","아픈 이야기를 자식에게
어디까지 해야 할까요","2026-09-21T12:30:00.000+09:00","true","3","45","162","0","0","47.95","0.000000","0.000000","162","162","","","2026-09-24T21:34:33.203+09:00"
"life-margin-r1-inlaw-words-008","zxIFMVtAILQ","family_relationships","comfortable_inlaw_words","며느리와 편안하려면
줄여야 할 말","","2026-09-24T12:30:00.000+09:00","true","0","11","241","0","0","241.00","0.000000","0.000000","","","","","2026-09-24T21:34:33.203+09:00"
