"contentId","youtubeVideoId","category","topic","title","hook","publishedAt","isPublished","daysSincePublished","durationSeconds","views","likes","comments","viewsPerDay","likeRate","commentRate","views1d","views3d","views7d","views30d","collectedAt"
"apartment-elevator-inspection-001","repjtgyH90I","apartment","elevator_inspection","아파트 승강기 점검 안내방송","엘리베이터 점검 전
이렇게 방송하세요","2026-09-11T19:00:00.000+09:00","false","0","29","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"apartment-fire-inspection-002","hKX7a22QBLY","apartment","fire_inspection","아파트 소방시설 점검 안내방송","소방시설 점검 전,
이 방송 먼저 하세요","2026-09-12T21:30:00.000+09:00","false","0","26","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"apartment-parking-001","iAcSL-Zbp0o","apartment","주차","아파트 주차 이동 안내방송","아파트 주차 민원,
이 방송 쓰세요 🔊","2026-08-31T19:00:00.000+09:00","true","10","25","304","1","0","27.88","0.003289","0.000000","304","304","304","","2026-09-11T16:38:46.344+09:00"
"apartment-pest-control-002","oDJKXFDJ0Yg","apartment","pest_control","아파트 단지 방역 안내방송","단지 방역 시작 전,
이 문구 그대로 쓰세요","2026-09-13T21:30:00.000+09:00","false","0","25","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"apartment-recycling-001","G9LPANW3oXw","apartment","분리수거","아파트 분리수거 안내방송","아파트 분리수거,
이 방송으로 안내하세요","2026-09-01T19:00:00.000+09:00","true","9","24","161","0","0","16.26","0.000000","0.000000","161","161","161","","2026-09-11T16:38:46.344+09:00"
"apartment-smoking-001","cFW_98KF-hE","apartment","흡연 민원","아파트 흡연 금지 안내방송","아파트 담배 냄새 민원,
이렇게 방송해보세요","2026-09-02T19:00:00.000+09:00","true","8","28","444","1","0","49.88","0.002252","0.000000","444","444","444","","2026-09-11T16:38:46.344+09:00"
"apartment-visitor-parking-002","wc76aNEhV3c","apartment","visitor_parking","아파트 방문차량 등록 안내방송","방문차량 등록 문의,
매번 설명하고 계세요?","2026-09-11T21:30:00.000+09:00","false","0","25","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"apartment-water-outage-001","LCq_CGbURc0","apartment","water_outage","아파트 단수 안내방송","🔊 아파트 단수 안내
이 문구 그대로 쓰세요","2026-09-10T19:00:00.000+09:00","true","0","31","227","0","0","227.00","0.000000","0.000000","","","","","2026-09-11T16:38:46.344+09:00"
"camping-checkout-001","wIgObB_XBik","camping","퇴실","캠핑장 퇴실시간 안내방송","캠핑장 퇴실 안내,
이 문구 그대로 쓰세요","2026-09-05T19:00:00.000+09:00","true","5","25","417","0","0","70.65","0.000000","0.000000","417","417","","","2026-09-11T16:38:46.344+09:00"
"camping-fire-safety-001","DSKshWV5Viw","camping","화재 예방","캠핑장 화재 예방 안내방송","캠핑장 화재 예방,
꼭 필요한 방송입니다","2026-09-06T19:00:00.000+09:00","true","4","27","216","2","0","44.06","0.009259","0.000000","216","216","","","2026-09-11T16:38:46.344+09:00"
"camping-heavy-rain-safety-001","u-fiYGIIESk","camping","heavy_rain_safety","캠핑장 집중호우 안전 안내방송","캠핑 중 비가 거세지면
이 방송부터 하세요","2026-09-13T19:00:00.000+09:00","false","0","29","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"camping-recycling-002","TrpuDtXTDbo","camping","recycling","캠핑장 쓰레기 분리배출 안내방송","쓰레기 섞여 나올 때,
이 방송 먼저 하세요","2026-09-14T21:30:00.000+09:00","false","0","24","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"camping-shower-closing-002","Ggxy5ikcF50","camping","shower_closing","캠핑장 샤워장 이용 종료 안내방송","샤워장 마감할 때,
이렇게 방송하세요","2026-09-15T21:30:00.000+09:00","false","0","26","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"camping-slow-driving-002","qz8HRK-AUYM","camping","slow_driving","캠핑장 차량 서행 안내방송","캠핑장 차량 때문에
불안하다면 이 방송","2026-09-16T21:30:00.000+09:00","false","0","27","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"gym-closing-001","CXaXfO0ZaRQ","gym","영업 종료","헬스장 영업 종료 안내방송","헬스장 마감 방송,
이렇게 하면 깔끔합니다","2026-09-09T19:00:00.000+09:00","true","1","28","58","0","0","30.50","0.000000","0.000000","58","","","","2026-09-11T16:38:46.344+09:00"
"hospital-visiting-hours-001","u-YTrc9rFgA","hospital","visiting_hours","병원 면회시간 종료 안내방송","병원 면회 종료 방송
차분하게 이렇게","2026-09-15T19:00:00.000+09:00","false","0","29","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"kids-cafe-closing-001","gMSgpSdMtWg","kids-cafe","영업 종료","키즈카페 이용시간 종료 안내방송","키즈카페 마감할 때
이 방송 그대로 쓰세요","2026-09-07T19:00:00.000+09:00","true","3","26","214","1","0","54.84","0.004673","0.000000","214","214","","","2026-09-11T16:38:46.344+09:00"
"kids-cafe-lost-property-001","C_qOpHntsw8","kids-cafe","lost_property","키즈카페 분실물 확인 안내방송","키즈카페 분실물
매번 생긴다면?","2026-09-14T19:00:00.000+09:00","false","0","29","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"mart-cart-return-002","1dbNP-4WpWU","mart","cart_return","마트 쇼핑카트 반납 안내방송","주차장 카트 때문에
매번 뛰어나가세요?","2026-09-19T21:30:00.000+09:00","false","0","26","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"mart-closing-10min-001","oV05MpweZZ0","mart","마감 사전 안내","마트 영업 종료 10분 전 안내방송","마트 마감 10분 전,
이 방송 그대로 쓰세요","2026-09-04T19:00:00.000+09:00","true","6","26","509","5","0","73.75","0.009823","0.000000","509","509","","","2026-09-11T16:38:46.344+09:00"
"mart-fresh-discount-002","yk2RoylAW1k","mart","fresh_discount","마트 신선식품 마감 할인 안내방송","신선식품 남았을 때,
이렇게 방송해보세요","2026-09-18T21:30:00.000+09:00","false","0","25","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"mart-holiday-notice-002","HMoQE1lDit0","mart","holiday_notice","마트 정기 휴무일 사전 안내방송","마트 휴무일 전날,
이 방송 잊지 마세요","2026-09-17T21:30:00.000+09:00","false","0","24","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"mart-lost-child-001","mF06ngDZ2G8","mart","lost_child","마트 미아 보호 안내방송","🔊 마트 미아 안내
당황하지 말고 이렇게","2026-09-12T19:00:00.000+09:00","false","0","30","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"mart-parking-001","RZD8ZrXTeyY","mart","주차","마트 주차 차량 이동 안내방송","마트 앞 차량 이동,
이렇게 방송하세요 🔊","2026-09-03T19:00:00.000+09:00","true","7","26","452","1","0","57.20","0.002212","0.000000","452","452","452","","2026-09-11T16:38:46.344+09:00"
"nursing-home-fall-prevention-001","xg5nZa-JBg0","nursing-home","낙상 예방","요양원 낙상 예방 안내방송","요양원에서 매일 필요한
낙상 예방 방송","2026-09-08T19:00:00.000+09:00","true","2","30","65","0","0","22.40","0.000000","0.000000","65","","","","2026-09-11T16:38:46.344+09:00"
"restaurant-last-order-001","bLTgD4f5FCQ","restaurant","last_order","음식점 라스트오더 안내방송","마감 주문 안내
직접 말하기 어렵다면?","2026-09-16T19:00:00.000+09:00","false","0","29","0","0","0","0.00","","","","","","","2026-09-11T16:38:46.344+09:00"
"wemakevoice-longform-camping-checkout-001","Tn-3Q2X_0gc","unknown","퇴실","캠핑장 퇴실 안내방송, 매번 직접 말하지 않고 만드는 방법","","2026-09-08T17:15:12.980+09:00","true","2","206","9","0","0","3.03","0.000000","0.000000","9","","","","2026-09-11T16:38:46.344+09:00"
