"contentId","youtubeVideoId","category","topic","title","hook","publishedAt","isPublished","daysSincePublished","durationSeconds","views","likes","comments","viewsPerDay","likeRate","commentRate","views1d","views3d","views7d","views30d","collectedAt"
"apartment-parking-001","iAcSL-Zbp0o","apartment","주차","아파트 주차 이동 안내방송","아파트 주차 민원,
이 방송 쓰세요 🔊","2026-08-31T19:00:00.000+09:00","true","7","25","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"apartment-recycling-001","G9LPANW3oXw","apartment","분리수거","아파트 분리수거 안내방송","아파트 분리수거,
이 방송으로 안내하세요","2026-09-01T19:00:00.000+09:00","true","6","24","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"apartment-smoking-001","cFW_98KF-hE","apartment","흡연 민원","아파트 흡연 금지 안내방송","아파트 담배 냄새 민원,
이렇게 방송해보세요","2026-09-02T19:00:00.000+09:00","true","5","28","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"camping-checkout-001","wIgObB_XBik","camping","퇴실","캠핑장 퇴실시간 안내방송","캠핑장 퇴실 안내,
이 문구 그대로 쓰세요","2026-09-05T19:00:00.000+09:00","true","2","25","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"camping-fire-safety-001","DSKshWV5Viw","camping","화재 예방","캠핑장 화재 예방 안내방송","캠핑장 화재 예방,
꼭 필요한 방송입니다","2026-09-06T19:00:00.000+09:00","true","1","27","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"gym-closing-001","CXaXfO0ZaRQ","gym","영업 종료","헬스장 영업 종료 안내방송","헬스장 마감 방송,
이렇게 하면 깔끔합니다","2026-09-09T19:00:00.000+09:00","false","0","28","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"kids-cafe-closing-001","gMSgpSdMtWg","kids-cafe","영업 종료","키즈카페 이용시간 종료 안내방송","키즈카페 마감할 때
이 방송 그대로 쓰세요","2026-09-07T19:00:00.000+09:00","true","0","26","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"mart-closing-10min-001","oV05MpweZZ0","mart","마감 사전 안내","마트 영업 종료 10분 전 안내방송","마트 마감 10분 전,
이 방송 그대로 쓰세요","2026-09-04T19:00:00.000+09:00","true","3","26","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"mart-parking-001","RZD8ZrXTeyY","mart","주차","마트 주차 차량 이동 안내방송","마트 앞 차량 이동,
이렇게 방송하세요 🔊","2026-09-03T19:00:00.000+09:00","true","4","26","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
"nursing-home-fall-prevention-001","xg5nZa-JBg0","nursing-home","낙상 예방","요양원 낙상 예방 안내방송","요양원에서 매일 필요한
낙상 예방 방송","2026-09-08T19:00:00.000+09:00","false","0","30","0","0","0","0.00","","","","","","","2026-08-31T12:22:26.644+09:00"
